block_number, block_name, block_trial_count, block_pairing_definition, study_name, task_number, task_name, trial_number, trial_name, trial_response, trial_latency, trial_error, session_id 
4,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,34,james2.jpg|,right,862,0,7310127
4,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,35,Kind|,left,875,0,7310127
4,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,39,Irritating|,right,1297,0,7310127
4,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,4,james2.jpg|,right,710,0,7310127
4,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,10,james1.jpg|,right,982,0,7310127
4,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,11,Attractive|,left,716,0,7310127
2,Pleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,15,Nice|,left,665,0,7310127
7,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,33,Rude|,right,942,0,7310127
7,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,35,Annoying|,right,700,0,7310127
6,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,16,james2.jpg|,left,544,0,7310127
6,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,17,Friendly|,left,762,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,11,brian.jpg|,right,477,0,7310127
3,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,15,Ugly|,right,969,0,7310127
4,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,1,Evil|,right,985,0,7310127
7,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,0,brian1.jpg|,right,2623,0,7310127
7,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,17,Nice|,left,629,0,7310127
7,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,18,brian2.jpg|,right,812,0,7310127
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,2,Ugly|,right,892,0,7310127
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,17,Nasty|,right,865,0,7310127
7,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,25,Irritating|,right,762,0,7310127
6,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,0,james2.jpg|,left,1044,0,7310127
