task_number	 question_number	 questionnaire_name	 question_name	 question_response	 attempt	 study_name	 session_id
8	7	exp	briantrstrt	9532	1	ybalab.daniel.death1.0001	7310647
8	8	exp	briantrsttrt	38330	1	ybalab.daniel.death1.0001	7310647
8	9	exp	brianlike	4	1	ybalab.daniel.death1.0001	7310647
8	10	exp	brianlikert	10613	1	ybalab.daniel.death1.0001	7310647
8	11	exp	brianliketrt	48943	1	ybalab.daniel.death1.0001	7310647
8	12	exp	jamestrst	5	1	ybalab.daniel.death1.0001	7310647
8	13	exp	jamestrstrt	7680	1	ybalab.daniel.death1.0001	7310647
8	14	exp	jamestrsttrt	56623	1	ybalab.daniel.death1.0001	7310647
8	15	exp	jameslike	4	1	ybalab.daniel.death1.0001	7310647
8	16	exp	jameslikert	3963	1	ybalab.daniel.death1.0001	7310647
8	17	exp	jamesliketrt	60586	1	ybalab.daniel.death1.0001	7310647
10	0	mem	jamesname	2	1	ybalab.daniel.death1.0001	7310647
10	1	mem	jamesnamert	4917	1	ybalab.daniel.death1.0001	7310647
10	2	mem	jamesnametrt	4926	1	ybalab.daniel.death1.0001	7310647
10	3	mem	jameslive	2	1	ybalab.daniel.death1.0001	7310647
10	4	mem	jameslivert	2151	1	ybalab.daniel.death1.0001	7310647
10	5	mem	jameslivetrt	7077	1	ybalab.daniel.death1.0001	7310647
10	6	mem	brianlive	1	1	ybalab.daniel.death1.0001	7310647
10	7	mem	brianlivert	2765	1	ybalab.daniel.death1.0001	7310647
10	8	mem	brianlivetrt	9842	1	ybalab.daniel.death1.0001	7310647
10	9	mem	briannational	3	1	ybalab.daniel.death1.0001	7310647
10	10	mem	briannationalrt	3012	1	ybalab.daniel.death1.0001	7310647
10	11	mem	briannationaltrt	12854	1	ybalab.daniel.death1.0001	7310647
10	12	mem	jamesnational	1	1	ybalab.daniel.death1.0001	7310647
10	13	mem	jamesnationalrt	1556	1	ybalab.daniel.death1.0001	7310647
10	14	mem	jamesnationaltrt	14410	1	ybalab.daniel.death1.0001	7310647
10	15	mem	brianname	3	1	ybalab.daniel.death1.0001	7310647
10	16	mem	briannamert	3201	1	ybalab.daniel.death1.0001	7310647
10	17	mem	briannametrt	17611	1	ybalab.daniel.death1.0001	7310647
2	0	realstart	target1Name	Francois	1	ybalab.daniel.death1.0001	7310669
2	1	realstart	target2Name	Pierre	1	ybalab.daniel.death1.0001	7310669
2	2	realstart	target1State	alive	1	ybalab.daniel.death1.0001	7310669
2	3	realstart	target2State	dead	1	ybalab.daniel.death1.0001	7310669
2	4	realstart	target1Group	France	1	ybalab.daniel.death1.0001	7310669
2	5	realstart	target2Group	France	1	ybalab.daniel.death1.0001	7310669
3	0	behaviours	target1Name	James	1	ybalab.daniel.death1.0001	7310669
3	1	behaviours	target2Name	Francois	1	ybalab.daniel.death1.0001	7310669
3	2	behaviours	target1State	alive	1	ybalab.daniel.death1.0001	7310669
3	3	behaviours	target2State	alive	1	ybalab.daniel.death1.0001	7310669
3	4	behaviours	target1Group	USA	1	ybalab.daniel.death1.0001	7310669
3	5	behaviours	target2Group	France	1	ybalab.daniel.death1.0001	7310669
6	1	iat	feedback	Your data suggest little to no difference in implicit preference between Pierre and Francois	1	ybalab.daniel.death1.0001	7310669
6	2	iat	score	0.14	1	ybalab.daniel.death1.0001	7310669
6	3	iat	block3Cond	Pleasant/Pierre,Unpleasant/Francois	1	ybalab.daniel.death1.0001	7310669
8	0	exp	brianfrnd	5	1	ybalab.daniel.death1.0001	7310669
8	1	exp	brianfrndrt	27780	1	ybalab.daniel.death1.0001	7310669
8	2	exp	brianfrndtrt	27830	1	ybalab.daniel.death1.0001	7310669
8	3	exp	jamestrst	5	1	ybalab.daniel.death1.0001	7310669
8	4	exp	jamestrstrt	11096	1	ybalab.daniel.death1.0001	7310669
8	5	exp	jamestrsttrt	38926	1	ybalab.daniel.death1.0001	7310669
8	6	exp	briantrst	5	1	ybalab.daniel.death1.0001	7310669
8	7	exp	briantrstrt	3896	1	ybalab.daniel.death1.0001	7310669
8	8	exp	briantrsttrt	42822	1	ybalab.daniel.death1.0001	7310669
8	9	exp	jameslike	4	1	ybalab.daniel.death1.0001	7310669
8	10	exp	jameslikert	9794	1	ybalab.daniel.death1.0001	7310669
8	11	exp	jamesliketrt	52616	1	ybalab.daniel.death1.0001	7310669
8	12	exp	jamesfrnd	5	1	ybalab.daniel.death1.0001	7310669
8	13	exp	jamesfrndrt	4206	1	ybalab.daniel.death1.0001	7310669
8	14	exp	jamesfrndtrt	56822	1	ybalab.daniel.death1.0001	7310669
8	15	exp	brianlike	4	1	ybalab.daniel.death1.0001	7310669
8	16	exp	brianlikert	3595	1	ybalab.daniel.death1.0001	7310669
8	17	exp	brianliketrt	60417	1	ybalab.daniel.death1.0001	7310669
10	0	mem	briannational	3	1	ybalab.daniel.death1.0001	7310669
10	1	mem	briannationalrt	9454	1	ybalab.daniel.death1.0001	7310669
10	2	mem	briannationaltrt	9504	1	ybalab.daniel.death1.0001	7310669
10	3	mem	jamesname	3	1	ybalab.daniel.death1.0001	7310669
10	4	mem	jamesnamert	9944	1	ybalab.daniel.death1.0001	7310669
10	5	mem	jamesnametrt	19448	1	ybalab.daniel.death1.0001	7310669
10	6	mem	brianname	4	1	ybalab.daniel.death1.0001	7310669
10	7	mem	briannamert	2424	1	ybalab.daniel.death1.0001	7310669
10	8	mem	briannametrt	21872	1	ybalab.daniel.death1.0001	7310669
10	9	mem	jameslive	1	1	ybalab.daniel.death1.0001	7310669
10	10	mem	jameslivert	6779	1	ybalab.daniel.death1.0001	7310669
10	11	mem	jameslivetrt	28651	1	ybalab.daniel.death1.0001	7310669
10	12	mem	jamesnational	1	1	ybalab.daniel.death1.0001	7310669
10	13	mem	jamesnationalrt	5899	1	ybalab.daniel.death1.0001	7310669
10	14	mem	jamesnationaltrt	34550	1	ybalab.daniel.death1.0001	7310669
10	15	mem	brianlive	1	1	ybalab.daniel.death1.0001	7310669
10	16	mem	brianlivert	2543	1	ybalab.daniel.death1.0001	7310669
10	17	mem	brianlivetrt	37093	1	ybalab.daniel.death1.0001	7310669
2	0	realstart	target1Name	Francois	1	ybalab.daniel.death1.0001	7310681
2	1	realstart	target2Name	Pierre	1	ybalab.daniel.death1.0001	7310681
2	2	realstart	target1State	alive	1	ybalab.daniel.death1.0001	7310681
2	3	realstart	target2State	dead	1	ybalab.daniel.death1.0001	7310681
2	4	realstart	target1Group	France	1	ybalab.daniel.death1.0001	7310681
2	5	realstart	target2Group	France	1	ybalab.daniel.death1.0001	7310681
3	1	behaviours	target1State	lives	1	ybalab.daniel.death1.0001	7310681
3	2	behaviours	target2	Pierre	1	ybalab.daniel.death1.0001	7310681
3	3	behaviours	target1	Francois	1	ybalab.daniel.death1.0001	7310681
3	4	behaviours	target2State	died last week	1	ybalab.daniel.death1.0001	7310681
3	5	behaviours	target1Location	France	1	ybalab.daniel.death1.0001	7310681
3	6	behaviours	target1Where	 in his hometown (in 	1	ybalab.daniel.death1.0001	7310681
3	7	behaviours	target2Location	France	1	ybalab.daniel.death1.0001	7310681
3	8	behaviours	target2Where	 at his place of work (in 	1	ybalab.daniel.death1.0001	7310681
6	0	exp	jameslike	6	1	ybalab.daniel.death1.0001	7310681
6	1	exp	jameslikert	13233	1	ybalab.daniel.death1.0001	7310681
6	2	exp	jamesliketrt	13324	1	ybalab.daniel.death1.0001	7310681
6	3	exp	briantrst	4	1	ybalab.daniel.death1.0001	7310681
6	4	exp	briantrstrt	5242	1	ybalab.daniel.death1.0001	7310681
6	5	exp	briantrsttrt	18567	1	ybalab.daniel.death1.0001	7310681
6	6	exp	brianfrnd	6	1	ybalab.daniel.death1.0001	7310681
6	7	exp	brianfrndrt	3314	1	ybalab.daniel.death1.0001	7310681
6	8	exp	brianfrndtrt	21881	1	ybalab.daniel.death1.0001	7310681
6	9	exp	jamestrst	3	1	ybalab.daniel.death1.0001	7310681
6	10	exp	jamestrstrt	3860	1	ybalab.daniel.death1.0001	7310681
